,Epiweek,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T,variant,sequences_analyzed,sequences_total,Rt_date,Rt_lower,Rt_upper,Rt_estimate_certainty_criteria_met,Rt_estimate_based_on_fewer_days_or_lower_quality_data,I_date,I,I_lower,I_upper,I_method,Rt,date,Netau SIR,Netau SIR upper,Netau SIR lower,Netau SIR error criteria met,E,E_upper,E_lower,Netau SEIR,Netau SEIR upper,Netau SEIR lower,Netau SEIR error criteria met,frac_variant,Rt_variant,Rt_variant_lower,Rt_variant_upper,Netau SIR variant,Netau SIR variant upper,Netau SIR variant lower,Netau SIR variant error criteria met,Netau SEIR variant,Netau SEIR variant upper,Netau SEIR variant lower,Netau SEIR variant error criteria met,Netau_HMM_assigned_median,Netau_HMM_assigned_95%_ci_lower,Netau_HMM_assigned_95%_ci_upper,Netau_MSD_assigned_median,Netau_MSD_assigned_95%_ci_lower,Netau_MSD_assigned_95%_ci_upper,frac_assigned
0,19.0,,,,,,,1.0,1.0,7.331351128053615,1.987178893113513,1.0,7.291539203067382,9,pre-B.1.177,260,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20.0,,,,,,,4.818353498929056,1.0,19.23122466997148,5.374390946106864,1.0,17.81779486817055,9,pre-B.1.177,167,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21.0,,,,,,,2.02233228431359,1.0,7.685408952859071,1.7485820255746878,1.0,6.211477657798501,9,pre-B.1.177,113,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,22.0,,,,,,,2.948439608474472,1.0,9.340896541632972,2.218931278776532,1.0,7.838702425282517,9,pre-B.1.177,53,53,29-May-20,0.7,0.9,1.0,0.0,17 May 2020 to 30 May 2020,53000.0,25000.0,99000.0,14-day weighted estimates,0.8,2020-05-27,14196.428571428569,30306.1224489796,5952.380952380952,True,,,,,,,False,1.0,0.8,0.7,0.9,14196.428571428569,30306.122448979597,5952.380952380952,True,,,,False,,,,,,,
4,23.0,295.91319419586034,150.0205848558261,576.3542359792091,268.25020480060255,157.03962107863077,718.6897329285473,1.454343931813788,1.0,5.096595395874676,1.0,1.0,4.75676546339386,9,pre-B.1.177,262,262,05-Jun-20,0.7,1.0,1.0,0.0,25 May 2020 to 07 June 2020,33000.0,14000.0,68000.0,14-day weighted estimates,0.85,2020-06-03,8319.327731092437,20816.326530612245,3000.0,True,9571.42857142857,26166.666666666668,-1547.6190476190477,13845.122464570246,193892.73566569487,488.6400988967015,False,1.0,0.85,0.7,1.0,8319.327731092437,20816.326530612245,3000.0,True,13845.122464570246,193892.73566569487,488.6400988967015,False,,,,,,,
5,24.0,901.028997591071,376.47887934393214,2481.53535155401,685.6749754528516,216.57898363320348,21276.90423511234,1.0,1.0,8.581333537396931,1.0,1.0,8.903191567255428,9,pre-B.1.177,2005,2005,12-Jun-20,0.8,1.0,1.0,0.0,31 May 2020 to 13 June 2020,33000.0,12000.0,74000.0,14-day weighted estimates,0.9,2020-06-10,7857.142857142857,19821.42857142857,2571.428571428571,True,12285.714285714286,31166.666666666668,642.8571428571429,14796.50734752776,246875.6200396825,462.8624615869513,False,1.0,0.9,0.8,1.0,7857.142857142857,19821.42857142857,2571.428571428571,True,14796.50734752776,246875.6200396825,462.8624615869513,False,,,,,,,
6,25.0,1239.0852532097454,377.8929856242041,2280.786019949191,1159.0697642255714,357.6118496343125,6946.289342081054,1.0,1.0,3.911882764680002,1.0,1.0,3.615011074861562,9,pre-B.1.177,1688,1688,19-Jun-20,0.7,0.9,1.0,0.0,08 June 2020 to 21 June 2020,51000.0,21000.0,105000.0,14-day weighted estimates,0.8,2020-06-17,13660.714285714284,32142.857142857145,5000.0,True,16428.57142857143,37285.71428571429,2571.428571428572,23879.26599211113,295119.89052180643,1259.8917117867556,False,1.0,0.8,0.7,0.9,13660.714285714284,32142.857142857145,5000.0,True,23879.26599211113,295119.89052180643,1259.8917117867556,False,,,,,,,
7,26.0,1521.0006414924114,576.961597416474,3250.606393989297,1317.7814520615514,356.7002762960632,30429.894152561727,1.4020125124266647,1.0,5.477368956334765,1.0239739672648167,1.0,5.710479009272986,9,pre-B.1.177,873,873,26-Jun-20,0.7,0.9,1.0,0.0,14 June 2020 to 27 June 2020,25000.0,12000.0,44000.0,14-day weighted estimates,0.8,2020-06-24,6696.428571428571,13469.38775510204,2857.142857142857,True,5690.476190476191,15380.952380952382,-3142.8571428571427,10091.842808551992,89951.46698135037,424.5074653237919,False,1.0,0.8,0.7,0.9,6696.428571428571,13469.38775510204,2857.142857142857,True,10091.169684606535,89944.60069527499,424.4724256446206,False,,,,,,,
8,27.0,455.7549001117047,201.5343497583448,881.7040364031709,441.75242992729306,207.6788628963918,1350.9048312619543,1.4905659050688262,1.0,7.192434194365193,1.1095387028936434,1.0,7.770248208285009,9,pre-B.1.177,976,977,03-Jul-20,0.8,0.9,1.0,0.0,22 June 2020 to 05 July 2020,14000.0,5000.0,31000.0,14-day weighted estimates,0.8500000000000001,2020-07-01,3529.411764705882,8303.571428571428,1190.4761904761904,True,4566.666666666667,11897.61904761905,-383.33333333333314,6207.462985194077,98582.44928328476,163.69901006997785,False,0.9989764585465712,0.8500000000000001,0.8,0.9,3525.799265458486,8295.072379002779,1189.257688745918,True,6201.040948809847,98488.90518249408,163.38268986183982,False,,,,,,,
9,28.0,336.41885484172855,200.9000827297637,599.3659404751583,297.365974918155,199.2567052171611,431.3783596009216,4.200226055581842,1.0,9.283999033962155,3.8320258865977785,1.0,9.09270273936494,9,pre-B.1.177,149,149,10-Jul-20,0.8,1.0,1.0,0.0,06 July 2020 to 12 July 2020,23600.0,15300.0,33900.0,modelled weekly estimates,0.9,2020-07-08,5619.047619047619,9080.35714285714,3278.5714285714284,True,8845.238095238095,13792.857142857143,4207.142857142857,10620.394219700256,39821.57952466701,2405.3642379834355,False,1.0,0.9,0.8,1.0,5619.047619047619,9080.35714285714,3278.5714285714284,True,10619.227020031374,39815.439468539735,2405.460922976651,False,,,,,,,
