,epiweek_start,epiweek_middle,epiweek_end,superlineage_combo,c0_MSD,c1_MSD,c2_MSD,c3_MSD,c4_MSD,c5_MSD,c6_MSD,c7_MSD,c8_MSD,Netau_MSD,c0,c1,c2,c3,c4,c5,c6,c7,c8,Netau_HMM,Netau_HMM_lower,Netau_HMM_upper,T
0,17.0,21.0,25.0,0,,,,,,,,,,,,,,,,,,,,,,,9
1,17.0,21.0,25.0,1,,,,,,,,,,,,,,,,,,,,,,,9
2,17.0,21.0,25.0,2,,,,,,,,,,,,,,,,,,,,,,,9
3,17.0,21.0,25.0,3,,,,,,,,,,,,,,,,,,,,,,,9
4,17.0,21.0,25.0,4,,,,,,,,,,,,,,,,,,,,,,,9
5,17.0,21.0,25.0,5,,,,,,,,,,,,,,,,,,,,,,,9
6,17.0,21.0,25.0,6,,,,,,,,,,,,,,,,,,,,,,,9
7,17.0,21.0,25.0,7,,,,,,,,,,,,,,,,,,,,,,,9
8,17.0,21.0,25.0,8,,,,,,,,,,,,,,,,,,,,,,,9
9,17.0,21.0,25.0,9,,,,,,,,,,,,,,,,,,,,,,,9
10,17.0,21.0,25.0,10,,,,,,,,,,,,,,,,,,,,,,,9
11,17.0,21.0,25.0,11,,,,,,,,,,,,,,,,,,,,,,,9
12,17.0,21.0,25.0,12,,,,,,,,,,,,,,,,,,,,,,,9
13,17.0,21.0,25.0,13,,,,,,,,,,,,,,,,,,,,,,,9
14,17.0,21.0,25.0,14,,,,,,,,,,,,,,,,,,,,,,,9
15,17.0,21.0,25.0,15,,,,,,,,,,,,,,,,,,,,,,,9
16,17.0,21.0,25.0,16,,,,,,,,,,,,,,,,,,,,,,,9
17,17.0,21.0,25.0,17,,,,,,,,,,,,,,,,,,,,,,,9
18,17.0,21.0,25.0,18,,,,,,,,,,,,,,,,,,,,,,,9
19,17.0,21.0,25.0,19,,,,,,,,,,,,,,,,,,,,,,,9
20,18.0,22.0,26.0,0,,,,,,,,,,,,,,,,,,,,,,,9
21,18.0,22.0,26.0,1,,,,,,,,,,,,,,,,,,,,,,,9
22,18.0,22.0,26.0,2,,,,,,,,,,,,,,,,,,,,,,,9
23,18.0,22.0,26.0,3,,,,,,,,,,,,,,,,,,,,,,,9
24,18.0,22.0,26.0,4,,,,,,,,,,,,,,,,,,,,,,,9
25,18.0,22.0,26.0,5,,,,,,,,,,,,,,,,,,,,,,,9
26,18.0,22.0,26.0,6,,,,,,,,,,,,,,,,,,,,,,,9
27,18.0,22.0,26.0,7,,,,,,,,,,,,,,,,,,,,,,,9
28,18.0,22.0,26.0,8,,,,,,,,,,,,,,,,,,,,,,,9
29,18.0,22.0,26.0,9,,,,,,,,,,,,,,,,,,,,,,,9
30,18.0,22.0,26.0,10,,,,,,,,,,,,,,,,,,,,,,,9
31,18.0,22.0,26.0,11,,,,,,,,,,,,,,,,,,,,,,,9
32,18.0,22.0,26.0,12,,,,,,,,,,,,,,,,,,,,,,,9
33,18.0,22.0,26.0,13,,,,,,,,,,,,,,,,,,,,,,,9
34,18.0,22.0,26.0,14,,,,,,,,,,,,,,,,,,,,,,,9
35,18.0,22.0,26.0,15,,,,,,,,,,,,,,,,,,,,,,,9
36,18.0,22.0,26.0,16,,,,,,,,,,,,,,,,,,,,,,,9
37,18.0,22.0,26.0,17,,,,,,,,,,,,,,,,,,,,,,,9
38,18.0,22.0,26.0,18,,,,,,,,,,,,,,,,,,,,,,,9
39,18.0,22.0,26.0,19,,,,,,,,,,,,,,,,,,,,,,,9
40,19.0,23.0,27.0,0,,,,,,,,,,,,,,,,,,,,,,,9
41,19.0,23.0,27.0,1,,,,,,,,,,,,,,,,,,,,,,,9
42,19.0,23.0,27.0,2,,,,,,,,,,,,,,,,,,,,,,,9
43,19.0,23.0,27.0,3,,,,,,,,,,,,,,,,,,,,,,,9
44,19.0,23.0,27.0,4,,,,,,,,,,,,,,,,,,,,,,,9
45,19.0,23.0,27.0,5,,,,,,,,,,,,,,,,,,,,,,,9
46,19.0,23.0,27.0,6,,,,,,,,,,,,,,,,,,,,,,,9
47,19.0,23.0,27.0,7,,,,,,,,,,,,,,,,,,,,,,,9
48,19.0,23.0,27.0,8,,,,,,,,,,,,,,,,,,,,,,,9
49,19.0,23.0,27.0,9,,,,,,,,,,,,,,,,,,,,,,,9
50,19.0,23.0,27.0,10,,,,,,,,,,,,,,,,,,,,,,,9
