,Rt_date,Epiweek,Rt_lower,Rt_upper,Rt_estimate_certainty_criteria_met,Rt_estimate_based_on_fewer_days_or_lower_quality_data,I_date,I_method,I,I_lower,I_upper,Rt,date,Netau SIR,Netau SIR upper,Netau SIR lower,Netau SIR error criteria met,E,E_upper,E_lower,Netau SEIR,Netau SEIR upper,Netau SEIR lower,Netau SEIR error criteria met,frac_variant,Rt_variant,Rt_variant_lower,Rt_variant_upper,Netau SIR variant,Netau SIR variant upper,Netau SIR variant lower,Netau SIR variant error criteria met,Netau SEIR variant,Netau SEIR variant upper,Netau SEIR variant lower,Netau SEIR variant error criteria met
0,29-May-20,22,,,1,0,21 May 2020 to 03 June 2020,Non-overlapping 14-day weighted estimates,5846.579552,1594.521696,15413.70973,,2020-05-27,,,,False,,,,,,,False,0.0,,,,,,,False,,,,False
1,05-Jun-20,23,,,1,0,Interpolated,Interpolated,8504.115711,1860.275312,24980.839905,,2020-06-03,,,,False,5777.55263777922,20687.3659005974,-1832.66454712987,,,,False,0.0,,,,,,,False,,,,False
2,12-Jun-20,24,0.7,1.0,1,0,04 June 2020 to 17 June 2020,Non-overlapping 14-day weighted estimates,11161.65187,2126.028928,34547.97008,0.85,2020-06-10,5158.746662605042,19389.166881632653,835.2256502857143,False,5974.279340415584,23741.80681057792,-3908.648962811688,12159.134862460993,896916.9477898262,36.13513532538913,False,0.0,1.6744999999999999,1.379,1.97,0.0,0.0,0.0,False,,,,False
3,19-Jun-20,25,0.7,0.9,1,0,Interpolated,Interpolated,7972.608479,1328.76808,24715.086285,0.8,2020-06-17,3915.120235223214,13870.711690561224,580.0178126984127,False,2981.962652142857,16214.421918740258,-6564.459449766233,7391.54098024311,707555.4485684048,484.1479414392672,False,0.0,1.576,1.379,1.773,0.0,0.0,0.0,False,,,,False
4,26-Jun-20,26,0.7,0.9,1,0,18 June 2020 to 01 July 2020,Non-overlapping 14-day weighted estimates,4783.565088,531.507232,14882.20249,0.8,2020-06-24,2349.0721414285717,8352.256499489797,232.0071250793651,False,1584.167659227273,10110.717113795454,-4949.229679149349,4162.580399316069,659570.7989734153,572.4292126060988,False,0.0,1.576,1.379,1.773,0.0,0.0,0.0,False,,,,False
5,03-Jul-20,27,0.8,1.0,1,0,Interpolated,Interpolated,3189.043392,265.753616,10630.1446365,0.9,2020-07-01,1392.0427504761903,5220.160312566964,104.40320628571428,False,1170.0061795324673,7278.887999746753,-2987.1396694675323,2600.8501553502947,592665.6270427594,273.7006253637599,False,0.0,1.773,1.576,1.97,0.0,0.0,0.0,False,,,,False
6,17-Jul-20,29,0.7,0.9,1,0,Interpolated,Interpolated,2126.028928,265.753616,7441.101247,0.8,2020-07-15,1044.0320628571428,4176.128250867348,116.00356253968256,False,1045.757735688312,5824.145804435065,-2019.0372117175325,2323.718067545885,371610.6197917427,180.32638207871764,False,0.0,1.576,1.379,1.773,0.0,0.0,0.0,False,,,,False
7,24-Jul-20,30,0.8,1.0,1,0,16 July 2020 to 29 July 2020,Non-overlapping 14-day weighted estimates,2657.53616,531.507232,8504.115711,0.9,2020-07-22,1160.0356253968257,4176.1282509375,208.80641257142855,False,3101.0340779318176,8055.440774064934,-51.77018482792196,5446.810908461189,253356.98980152293,10.631927547776314,False,0.0,1.773,1.576,1.97,0.0,0.0,0.0,False,,,,False
8,11-Sep-20,37,1.0,1.2,1,0,Interpolated,Interpolated,9832.8837935,5846.579551500001,16210.97057,1.1,2020-09-09,3511.744211964285,6368.595581071429,1914.058781741072,True,7413.490484376623,12486.96860177922,3189.043391727273,10803.30595563228,55339.37016371933,1648.771946588971,False,0.0,2.1670000000000003,1.97,2.364,0.0,0.0,0.0,False,,,,False
9,18-Sep-20,38,1.2,1.4,1,0,10 September 2020 to 23 September 2020,Non-overlapping 14-day weighted estimates,12224.66634,8504.115711,17539.73865,1.2999999999999998,2020-09-16,3694.267300549451,5742.17634375,2386.3590005357146,True,12932.19219821104,18735.62992312013,7884.599165814935,15644.695060457763,50657.985400491605,4297.07861866109,True,0.0,2.5609999999999995,2.364,2.758,0.0,0.0,0.0,False,,,,False
10,25-Sep-20,39,1.2,1.5,1,0,Interpolated,Interpolated,39065.78155,31358.9266855,48632.91172,1.35,2020-09-23,11368.349128306878,15921.488955952382,8213.052227154762,True,32811.943208181816,41788.8932732922,24963.583174753247,38485.13468597463,85356.88591150985,17083.51062236739,True,0.0,2.6595,2.364,2.955,0.0,0.0,0.0,False,,,,False
11,02-Oct-20,40,1.2,1.6,1,0,24 September 2020 to 07 October 2020,Non-overlapping 14-day weighted estimates,65906.89676,54213.73766,79726.08479,1.4,2020-09-30,18494.282254081638,26100.80156815476,13311.408800446428,True,45060.76896204545,57211.2313670357,34069.9587037987,52428.64766964164,113236.8244031378,24003.53753474057,True,0.0,2.758,2.364,3.152,0.0,0.0,0.0,False,,,,False
12,09-Oct-20,41,1.3,1.5,1,0,Interpolated,Interpolated,81586.360105,69627.447385,95405.548145,1.4,2020-10-07,22894.131662117343,28831.3469668956,18235.76002940476,True,51221.42097136363,64226.09143441557,39117.55173311688,60664.70660128049,110598.38272795104,32462.977581688127,True,0.0,2.758,2.561,2.955,0.0,0.0,0.0,False,,,,False
13,16-Oct-20,42,1.3,1.4,1,0,08 October 2020 to 21 October 2020,Non-overlapping 14-day weighted estimates,97265.82345,85041.15711,111085.0115,1.35,2020-10-14,28304.869257936505,33569.64633241758,23863.590005357142,True,60343.32756175324,73746.62845061687,47695.871373506496,74319.61936915334,121398.906402945,44507.71884851546,True,0.0,2.6595,2.561,2.758,0.0,0.0,0.0,False,,,,False
14,23-Oct-20,43,1.1,1.3,1,0,Interpolated,Interpolated,115602.822975,101517.881305,131016.5327,1.2000000000000002,2020-10-21,37846.16228348214,46791.618821428565,30678.480614148357,True,70914.79934123375,85586.46974590907,56854.01708844156,98520.06945075038,165054.87951437,57852.408604772136,True,0.0,2.3640000000000003,2.1670000000000003,2.561,0.0,0.0,0.0,False,,,,False
15,30-Oct-20,44,1.1,1.3,1,0,22 October 2020 to 04 November 2020,Non-overlapping 14-day weighted estimates,133939.8225,117994.6055,150948.0539,1.2000000000000002,2020-10-28,43849.34665178571,53910.01925,35657.710453296706,True,74709.55390178572,90421.80501905845,59577.128817662335,106408.8796920336,176337.99125129788,63126.46296337764,True,0.0,2.3640000000000003,2.1670000000000003,2.561,0.0,0.0,0.0,False,,,,False
16,06-Nov-20,45,1.1,1.2,1,0,Interpolated,Interpolated,123309.67785,108693.22894,139254.8948,1.15,2020-11-04,42124.42411024846,49733.891,35584.092807738096,True,62704.04800324675,78007.31467402597,48239.45831688312,95858.28037901373,155098.59434492895,57898.826468245454,True,0.0,2.2655,2.1670000000000003,2.364,0.0,0.0,0.0,False,,,,False
17,13-Nov-20,46,1.0,1.2,1,0,05 November 2020 to 18 November 2020,Non-overlapping 14-day weighted estimates,112679.5332,99391.85238,127561.7357,1.1,2020-11-11,40242.69042857143,50113.539025000005,32538.99929107143,True,57646.10092899351,71970.91110506492,44191.02985431817,91951.1062465695,157366.32259963645,52910.068251745055,True,0.0,2.171876969242311,1.9744336084021006,2.3693203300825205,0.0,0.0,0.0,False,,,,False
18,20-Nov-20,47,1.0,1.1,1,0,Interpolated,Interpolated,105504.185555,92482.258365,119854.8808,1.05,2020-11-18,39474.35513962585,47085.84602857143,33029.3779875,True,54472.58858474025,68108.85528155843,41447.21005266234,90758.96525534127,150080.5335028585,53448.87080738253,True,0.0,2.0731587837837844,1.974436936936937,2.171880630630631,0.0,0.0,0.0,False,,,,False
19,27-Nov-20,48,0.8,1.0,1,0,19 November 2020 to 02 December 2020,Non-overlapping 14-day weighted estimates,98328.83791,85572.66435,112148.0259,0.9,2020-11-25,42921.31813531746,55072.69129017856,33617.83242321429,True,48508.66327655844,61513.33370590908,36026.87169779221,95716.14708385098,173067.69368683363,51797.268301722,True,0.0,1.778832236842105,1.5811842105263156,1.9764802631578944,0.0,0.0,0.0,False,,,,False
20,04-Dec-20,49,0.7,0.9,1,0,Interpolated,Interpolated,81586.360105,70158.95462,94076.780035,0.8,2020-12-02,40064.73040870535,52798.19287678572,30624.94050873016,True,37326.30333564935,49264.50796753247,25967.92477110389,85110.53534466235,164359.99126920462,42874.5315238976,True,0.0,1.6022666666666667,1.4019833333333334,1.8025499999999999,0.0,0.0,0.0,False,,,,False
21,11-Dec-20,50,0.7,0.9,1,0,03 December 2020 to 16 December 2020,Non-overlapping 14-day weighted estimates,64843.8823,54745.24489,76005.53417,0.8,2020-12-09,31842.97791517857,42656.16713622449,23896.73388055556,True,31383.08610652597,42482.61375379869,20920.3317337013,70124.41729480404,143926.2576947178,32880.89428707663,True,0.0,1.539730785931394,1.3472644376899696,1.732197134172818,0.0,0.0,0.0,False,,,,False
22,18-Dec-20,51,0.9,1.1,1,0,Interpolated,Interpolated,62983.60699,52353.462345,74942.519705,1.0,2020-12-16,24743.55988892857,32713.00463313492,18697.665123214283,True,36347.84684181818,48053.085652694805,25538.23222529221,61543.28999846003,126132.1865489447,28913.188147939352,True,0.0,1.8073675652194334,1.62663080869749,1.9881043217413772,0.0,0.0,0.0,False,,,,False
23,15-Jan-21,55,1.1,1.3,1,0,Interpolated,Interpolated,74145.25886,61920.592525,88230.200505,1.2000000000000002,2021-01-13,24273.745460119044,31510.785894642853,18712.266971840658,True,43005.49262337662,55927.33078217532,31155.297292499992,60598.26355333501,119862.00493353404,29672.109907584367,True,0.0,1.6049731947741015,1.4712254285429263,1.7387209610052763,0.0,0.0,0.0,False,,,,False
24,22-Jan-21,56,0.8,1.1,1,0,14 January 2021 to 27 January 2021,Non-overlapping 14-day weighted estimates,74942.51971,62717.85337,88761.70774,0.95,2021-01-20,30991.267549248118,43588.33862232143,22399.23334642857,True,38713.7442939935,51547.57313766233,26692.70734967532,71280.29857955636,154143.87729306522,32165.77030372242,True,0.0,1.2609120859454903,1.0618207039540972,1.4600034679368836,0.0,0.0,0.0,False,,,,False
25,29-Jan-21,57,0.8,1.1,1,0,Interpolated,Interpolated,64046.621455,53150.723195,76537.041405,0.95,2021-01-27,26485.44496259398,37585.15426138392,18982.401141071427,True,30264.85011292208,42089.16035142857,19310.278978051945,57430.66777958733,130015.9815313734,24500.726984781195,True,0.0,1.169716277022084,0.985024233281755,1.3544083207624131,0.0,0.0,0.0,False,,,,False
26,05-Feb-21,58,0.8,1.0,1,0,28 January 2021 to 10 February 2021,Non-overlapping 14-day weighted estimates,53150.7232,43583.59302,64312.37507,0.9,2021-02-03,23200.712507936507,31581.969900446427,17122.125829285716,True,25574.47135792208,36332.31578698052,15686.366033571428,50899.14081253408,114130.93541090016,21458.994070666107,True,0.0,1.1533702422145329,1.0252179930795848,1.281522491349481,0.0,0.0,0.0,False,,,,False
27,12-Feb-21,59,0.8,0.9,1,0,Interpolated,Interpolated,48101.404495,38800.027935000006,58997.30275,0.8500000000000001,2021-02-10,22231.741573319323,28971.88974330357,16936.520130357145,True,24073.13599383116,34344.34068525973,14671.670410909095,50052.52899035417,110271.55903601384,21154.752264779818,True,0.0,1.0192379679144388,0.9592827933312364,1.0791931424976409,0.0,0.0,0.0,False,,,,False
28,19-Feb-21,60,0.7,1.0,1,0,11 February 2021 to 24 February 2021,Non-overlapping 14-day weighted estimates,43052.08579,34016.46285,53682.23043,0.85,2021-02-17,19898.022844117648,30127.78238418368,13363.610405357143,True,20863.384527954546,30818.79109032468,11834.66427788961,43856.45350065638,117807.07681447364,15385.234996118172,True,0.0,1.0244,0.8436235294117648,1.2051764705882353,0.0,0.0,0.0,False,,,,False
29,26-Feb-21,61,0.7,0.9,1,0,Interpolated,Interpolated,35876.73816,27638.376065000004,45975.375565,0.8,2021-02-24,17618.041060714284,25802.50669464286,12064.370504563492,True,16493.98092116883,25988.63283448052,8127.919035779221,37541.25526032984,105161.01837293924,12145.482422175612,True,0.0,0.9406920415224914,0.82310553633218,1.0582785467128026,0.0,0.0,0.0,False,,,,False
30,05-Mar-21,62,0.7,1.0,1,0,25 February 2021 to 10 March 2021,Non-overlapping 14-day weighted estimates,28701.39053,21260.28928,38268.5207,0.85,2021-03-03,13265.348564285714,21477.231005102043,8352.256502857143,True,14174.676636525975,23265.52110613636,6300.431507240259,29603.473745814765,99953.57427338247,7797.836446805732,False,0.0,1.00346875,0.8263860294117646,1.1805514705882352,0.0,0.0,0.0,False,,,,False
31,12-Mar-21,63,0.7,0.9,1,0,Interpolated,Interpolated,28967.144145,21260.28928,38800.02793,0.8,2021-03-10,14224.93685691964,21775.525879081637,9280.285003174604,True,15914.154849155844,25036.061429610385,7951.9004068831155,34148.35775804965,107572.18554957524,9600.377937566724,True,0.0,0.9453014837419762,0.8271387982742291,1.063464169209723,0.0,0.0,0.0,False,,,,False
32,19-Mar-21,64,0.7,0.9,1,0,11 March 2021 to 24 March 2021,Non-overlapping 14-day weighted estimates,29232.89776,21260.28928,39331.53516,0.8,2021-03-17,14355.440864285712,22073.820753061224,9280.285003174604,True,14977.11450107143,24016.188785941555,7040.74515224026,32833.26484519711,105932.56185488252,8889.06058100288,True,0.0,0.9396547314578005,0.8221978900255754,1.0571115728900256,0.0,0.0,0.0,False,,,,False
33,26-Mar-21,65,0.8,1.0,1,0,Interpolated,Interpolated,24449.33267,17539.738655,33219.201995,0.9,2021-03-24,10672.327752777775,16313.000979687497,6890.611614464287,True,11285.900313896103,19372.40319954545,4100.198647597402,22799.13501334966,77438.04884391374,5538.057424737936,False,0.0,1.0516052776250688,0.9347602467778391,1.1684503084722988,0.0,0.0,0.0,False,inf,inf,inf,False
34,02-Apr-21,66,0.8,1.0,1,0,25 March 2021 to 07 April 2021,Non-overlapping 14-day weighted estimates,19665.76758,13819.18803,27106.86883,0.9,2021-03-31,8584.263626190475,13311.408800446428,5428.966726071429,True,8847.524602792206,16095.35049457792,2583.332227918831,18045.79298901753,66324.54135926858,3899.208559443057,False,0.0013477088948787,1.059854826105521,0.9420931787604631,1.1776164734505787,9.824156425989493,15.234080405789385,6.213115145449788,True,44.9581807156195,144.00858746466534,13.831601994640808,True
35,09-Apr-21,67,0.8,1.0,1,0,Interpolated,Interpolated,15679.46334,10098.6374065,23652.07182,0.9,2021-04-07,6844.210188095238,11614.856697321426,3967.3218382678574,True,6844.018446233766,14267.862965064933,1066.465809058441,14123.164046861648,69922.51669375246,2070.5749198368417,False,0.0046838407494145,1.0495342002384451,0.9329192891008402,1.1661491113760503,27.489786909609723,46.65110024680272,15.934757837438132,True,59.25093152234329,248.93969847082786,12.95588953418103,False
36,16-Apr-21,68,0.7,1.0,1,0,08 April 2021 to 21 April 2021,Non-overlapping 14-day weighted estimates,11693.1591,6378.086783,20197.27481,0.85,2021-04-14,5404.401264705883,11335.205250510204,2505.6769504642857,True,5466.931527175324,12895.953063087662,-165.6645916948047,11639.197124008437,96366.13684787844,750.6954850997998,False,0.0,1.0044567901234567,0.8271997095134349,1.1817138707334784,0.0,0.0,0.0,False,inf,inf,inf,False
37,23-Apr-21,69,0.7,1.0,1,0,Interpolated,Interpolated,11427.405485,6643.840399,18868.50673,0.85,2021-04-21,5281.573963655462,10589.468062755102,2610.08015675,True,6119.235858116882,12683.695304746752,776.5527745519473,12452.486751505216,84096.27724504513,1146.4390146012283,False,0.0130718954248366,0.987252093716282,0.8130311360016441,1.1614730514309202,59.44191511493729,119.1800523916113,29.37536503102101,True,186.22501437922008,1047.4414125511762,32.93950681494508,False
38,30-Apr-21,70,0.8,1.0,1,0,22 April 2021 to 05 May 2021,Non-overlapping 14-day weighted estimates,11161.65187,6909.594015,17539.73865,0.9,2021-04-28,4872.149625793651,8613.264515624998,2714.4833630357143,True,5575.648916844156,11218.599071512986,864.5620891558435,10955.558277647358,58778.66194480131,1353.6863504959986,False,0.0140237324703344,1.0553910268347342,0.9381253571864304,1.172656696483038,58.265750848043126,103.00552380386853,32.462346902171205,True,245.57496368224838,1253.4169520241342,35.94713353355863,False
