,Epiweek,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T
2,19.0,,,,,,,1.0,1.0,7.331351128053615,1.987178893113513,1.0,7.291539203067382,9
3,20.0,,,,,,,4.818353498929056,1.0,19.23122466997148,5.374390946106864,1.0,17.81779486817055,9
4,21.0,,,,,,,2.02233228431359,1.0,7.685408952859071,1.7485820255746878,1.0,6.211477657798501,9
5,22.0,,,,,,,2.9484396084744717,1.0,9.340896541632972,2.2189312787765316,1.0,7.838702425282517,9
6,23.0,295.91319419586034,150.0205848558261,576.3542359792091,268.25020480060255,157.03962107863077,718.6897329285473,1.454343931813788,1.0,5.096595395874676,1.0,1.0,4.75676546339386,9
7,24.0,901.028997591071,376.47887934393214,2481.53535155401,685.6749754528516,216.57898363320348,21276.90423511234,1.0,1.0,8.581333537396931,1.0,1.0,8.903191567255428,9
8,25.0,1239.0852532097454,377.8929856242041,2280.786019949191,1159.0697642255714,357.6118496343125,6946.289342081054,1.0,1.0,3.911882764680002,1.0,1.0,3.615011074861562,9
9,26.0,1521.0006414924114,576.961597416474,3250.606393989297,1317.7814520615514,356.7002762960632,30429.894152561727,1.4020125124266647,1.0,5.477368956334765,1.0239739672648167,1.0,5.710479009272986,9
10,27.0,455.7549001117047,201.53434975834477,881.7040364031709,441.75242992729306,207.6788628963918,1350.9048312619543,1.4905659050688262,1.0,7.192434194365193,1.1095387028936434,1.0,7.770248208285009,9
11,28.0,336.41885484172855,200.90008272976374,599.3659404751583,297.365974918155,199.2567052171611,431.3783596009216,4.200226055581842,1.0,9.283999033962155,3.8320258865977785,1.0,9.09270273936494,9
12,29.0,320.6606318257021,187.63813136691275,580.5028935980272,331.3251326510464,239.22147192090847,535.2042461866936,3.2310753619990162,1.0,22.306584253505175,3.1599571390234953,1.0,19.60553870038163,9
13,30.0,207.99947960114767,118.50998658637096,392.38600858093366,313.2220095754201,186.45457382427986,939.3137466304006,1.9459013573164115,1.0,8.457349001211245,2.763684968542483,1.0,7.6306964975917495,9
14,31.0,159.4107292566219,85.30798587690536,283.79317614189256,231.32991405466146,147.01164528615035,554.6984433258347,2.4786575997771054,1.0,6.760192017912002,2.8587987179422605,1.0,9.597095178266049,9
15,32.0,199.7441852686695,101.35217086953813,381.6304506572336,248.01232842986985,101.33284150082768,1406.6544226458793,2.169405840063747,1.0,10.1212202282669,2.953730981744875,1.0,12.108940555341006,9
16,33.0,157.09853811465683,94.28589184759448,283.8756131620983,155.4188597381583,123.69418765334636,250.71987825777717,2.18473565397821,1.0,15.888258028672714,2.5576870941969636,1.0,16.012415503776584,9
17,34.0,162.01572395902625,95.20482484459149,299.3053794540325,130.33329491700448,85.79995122848892,184.30902919007735,9.732242330798655,2.3306834202706703,19.781285609947716,9.531384241375347,1.0,19.47396340950572,9
18,35.0,182.94192407851148,107.46411499219678,350.10806375400097,219.1570637696359,134.23904304306586,397.1020736889985,1.2458884054553132,1.0,12.364039956251267,4.353866460623895,1.0,13.149244100750522,9
19,36.0,245.29283288584708,127.95719681453767,434.0482140288396,242.8229289488478,175.35594109074793,372.82431171516845,3.901338334806421,1.0,12.506908275015475,4.033721942699197,1.0,13.925855814310586,9
20,37.0,465.6327015876049,218.14253788600348,802.2445144270292,471.6329382921807,359.7338030083282,712.207902285695,1.0,1.0,5.100378526949154,1.0,1.0,5.220614457571815,9
21,38.0,773.9593117717773,324.6496154088934,1344.951960568818,758.7210714545267,542.3447679814743,1074.356181566256,3.145718420281642,1.0,5.373896030121145,3.298624137366576,1.0,5.517165336256187,9
22,39.0,1153.1954606179052,791.9753545829515,2173.5657312752446,1186.8073919528758,870.4290679433598,1663.160444769653,1.0,1.0,2.009562443085764,1.0,1.0,2.1391827680795488,9
23,40.0,1950.168316722767,802.7577449139017,3406.6138399112315,2411.1840425286728,1482.4761676107141,6309.408143736427,15.807466213852022,11.679424519017545,21.851890557714153,15.891778914880481,11.870069995949034,22.225348016179055,9
24,41.0,1800.9803098324862,1003.0026749215042,3287.0360722961836,1866.0570187211574,1220.540655106941,3118.24488015523,4.06937672208727,1.0,8.407203132209197,4.280047508071756,1.0,8.633285581215135,9
25,42.0,1796.381243036753,1024.822239947152,3197.4171842037185,1750.3445904091266,1240.1196819325985,2740.3154754124553,2.091057171115729,1.0,4.478042299398035,1.8900384057714912,1.0,4.526337760133354,9
26,43.0,1331.2687055528058,688.1310961563702,2277.961978682234,1291.6383965727796,928.5123206041321,1804.0383191667943,1.2960057932350075,1.0,3.5498479947101114,1.0,1.0,3.493378860335533,9
27,44.0,1153.8537684126634,601.6663257139003,1987.8349495518996,1133.2750001048057,774.2633270392109,1607.4837206723757,2.1210950371457864,1.0,4.126950277340973,2.1573075899896943,1.0,4.347364041452489,9
28,45.0,1766.756986128251,665.5239117353487,3315.7446047203603,1870.183190195021,848.8066285451638,40903.87426359545,1.5690164995943967,1.0,10.536626930254233,1.0,1.0,11.06313630024145,9
29,46.0,879.0242086494969,509.3629669924152,1499.204152537112,874.7990352213186,630.8861081369855,1166.0274899597582,1.1328357425597595,1.0,6.018500785627114,1.0,1.0,6.079600396131496,9
30,47.0,697.187674592007,412.4855124863501,1262.6992152305852,660.9162558472789,489.49823774047707,843.5094779995609,2.5820700334372164,1.0,6.809137998841425,2.5886558974481755,1.0,7.0084049102863295,9
31,48.0,673.7632404509145,369.89484364683,1214.0673434927794,651.1726764777517,396.86148146942537,1383.6122917309772,2.1219242480574296,1.0,10.063160958279287,1.0,1.0,10.271963707830643,9
32,49.0,881.5715691104257,428.64053392670996,1577.9458049718417,964.6828998415122,412.9441969385491,12455.219982682403,1.3308624911114024,1.0,3.6771052313480146,1.2471516363834647,1.0,3.5800618098695156,9
33,50.0,997.3937645771346,449.97125357178527,2063.5439034120736,1156.7022222559517,451.16317429948754,11870.713347751096,1.0,1.0,2.9979813164202938,1.0,1.0,3.064887658370554,9
34,51.0,978.5120538335991,316.4656556157918,1859.0269329865614,1021.3084209196546,319.6895886175367,17476.301019709423,1.0,1.0,2.6962958973907014,1.0,1.0,2.910734930879227,9
35,52.0,914.7264264192622,293.06527876347053,1865.3002172344447,1027.0213071891444,218.6286049758413,9524.003411978947,1.0,1.0,1.7213329287611754,1.0,1.0,1.8017433594366299,9
36,53.0,,,,,,,1.3307082444756386,1.0,3.1799630859900696,1.1722572481798443,1.0,3.181750149851961,9
37,54.0,,,,,,,1.1083873662154482,1.0,3.2039231909261296,1.1789456757647891,1.0,3.28782858952938,9
38,55.0,,,,,,,3.7416660492441527,1.0,8.535903360339443,3.949798066501654,1.0,8.384821381830317,9
39,56.0,,,,,,,1.0,1.0,5.9660570259583015,1.0528814693825528,1.0,4.480400046492019,9
